Assigned to;Repository Name;Image URL;Architecture Scope;Architectural Notation;Architectural Styles;Concern;Behavior;QAs;Granularity;Components Nature;Connectors Nature;Shapes;Colored?;Connectors Direction;Legend?;Nested Components?;Explicit Ports/Interfaces?;Explicit Connectors?;Design Overlays;Technologies;Notes
Anonymous;ArnBaudzus/FluxSurfer;https://github.com/ArnBaudzus/FluxSurfer/blob/main/additional_doc/img/program_architecture.jpg;entire;boxes_and_arrows;layered;general;static;maintainability;high;sub-systems;control_flow;rectangles;y;uni;n;n;n;y;text;NA;
Anonymous;abel-gr/warehouse-robot;https://github.com/abel-gr/warehouse-robot/blob/master/Simulation/Unity/screenshots/software_architecture_unity.png;entire;boxes_and_arrows;NA;general;static;functional_suitability;medium;packages;dependencies;rectangles;y;uni, bi;n;n;n;y;text;NA;
Anonymous;kansiris/Angular-Interview-Questions-Answers;https://github.com/kansiris/Angular-Interview-Questions-Answers/blob/master/images/architecture.png;entire;boxes_and_arrows;event-driven, SOA;general;static;maintainability;high;sub-systems;data_flow;rectangles, icons;y;uni;n;y;n;y;n;NA;
Anonymous;lvyahui8/http-proxy;https://github.com/lvyahui8/http-proxy/blob/master/api_platform_architecture.jpg;entire+;boxes_and_arrows;client-server, layered;general;static;maintainability;medium;DBs, layers, functions, technologies;data_flow, function_calls;rectangles;y;uni;n;y;n;y;n;openresty, redis, mysql, apache, druid ;
Anonymous;aikkala/user-in-the-box;https://github.com/aikkala/user-in-the-box/blob/main/figs/architecture.svg;part;boxes_and_arrows;NA;general;static;maintainability;low;classes;inheritance;rectangles;y;uni;n;n;n;y;n;NA;
Anonymous;2WAY/Design;https://github.com/2WAY/Design/blob/master/img/whitepaper/6_2wayd_architecture.jpg;entire+;boxes_and_arrows;P2P;general;static;maintainability, security;high;DBs, APIs, sub-systems;data_flow;rectangles, cylinders;y;bi;n;n;n;y;n;NA;
Anonymous;tokencard/contracts;https://github.com/tokencard/contracts/blob/master/docs/high_level_architecture.svg;entire;boxes_and_arrows;smart-contracts;general;static;maintainability, security;medium;contracts;dependencies;rectangles;n;uni, bi;n;n;n;y;n;ethereum;blockchain
Anonymous;nasa/cFS;https://github.com/nasa/cFS/blob/main/.github/workflows/Reusable-Workflows-Architecture.svg;part;boxes_and_arrows;NA;general;static;maintainability;medium;packages;dependencies;rectangles;y;uni;n;n;n;y;n;NA;
Anonymous;fdrennan/ndexr-platform;https://github.com/fdrennan/ndexr-platform/blob/master/airflow/airflower/docs/airflow_architecture.png;entire;boxes_and_arrows;layered;general;static;maintainability;high;sub-systems;dependencies;rectangles, squares, icons;y;bi;n;y;n;y;n;NA;
Anonymous;ra1028/VueFlux;https://github.com/ra1028/VueFlux/blob/master/assets/architecture.png;part;boxes_and_arrows;MVC;general;static;maintainability;low;classes;dependencies;rectangles;y;uni;n;y;n;y;n;NA;
